_time,vcc,vpanel,tmp,hum,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
2024-06-03 14:01:00+00:00,3.516,3.386,31.25,39.819,451600.0,83832400.0,81792100.0,79630600.0,4905300.0,4848700.0,4900900.0,464600.0,493400.0,507400.0
2024-06-03 14:02:00+00:00,3.516,3.387,31.34,39.004,451900.0,83752000.0,81108900.0,79269400.0,4892200.0,4883400.0,4866000.0,465200.0,487500.0,506300.0
2024-06-03 14:04:00+00:00,3.514,3.387,31.47,38.952,450500.0,82956900.0,81184200.0,78911400.0,4844400.0,4844400.0,4844400.0,463900.0,488800.0,504800.0
2024-06-03 14:05:00+00:00,3.515,3.386,31.5,38.683,448100.0,83193900.0,80958600.0,78769200.0,4883400.0,4823000.0,4810300.0,463300.0,485400.0,505500.0
2024-06-03 14:06:00+00:00,3.515,3.388,31.6,38.853,450800.0,82643100.0,80215400.0,78065500.0,4835800.0,4810300.0,4785000.0,462000.0,480300.0,497000.0
2024-06-03 14:07:00+00:00,3.514,3.388,31.6,38.819,446600.0,82487000.0,79703200.0,77649200.0,4801800.0,4810300.0,4793400.0,455900.0,481900.0,501100.0
2024-06-03 14:09:00+00:00,3.514,3.387,31.48,38.45,446900.0,82254100.0,80289100.0,78065500.0,4831600.0,4814500.0,4793400.0,461700.0,483700.0,505100.0
2024-06-03 14:10:00+00:00,3.515,3.389,31.6,38.1,447200.0,83193900.0,81033600.0,78627400.0,4866000.0,4857300.0,4801800.0,462700.0,484000.0,502500.0
2024-06-03 14:11:00+00:00,3.514,3.386,31.68,38.777,448400.0,82022500.0,79703200.0,77787500.0,4840100.0,4806100.0,4764100.0,458900.0,480300.0,499200.0
2024-06-03 14:12:00+00:00,3.514,3.387,31.61,38.921,444600.0,81945600.0,79630600.0,77169200.0,4814500.0,4731100.0,4806100.0,459600.0,482600.0,501400.0
2024-06-03 14:14:00+00:00,3.514,3.392,31.48,39.06,444300.0,81639300.0,79197500.0,77442800.0,4735200.0,4797600.0,4706600.0,456500.0,480600.0,496000.0
2024-06-03 14:15:00+00:00,3.514,3.387,31.52,38.897,444300.0,82099500.0,79630600.0,77305800.0,4814500.0,4789200.0,4739300.0,460800.0,482600.0,498900.0
