cycleID,Temperature,Humidity,Pressure,Resistance0,Resistance1,Resistance2,Resistance3,Resistance4,Resistance5,Resistance6,Resistance7,Resistance8,Resistance9,label
115699,37.313789,23.586393,1022.233398,48066.089844,1542459.0,995624.6875,542948.0625,86166.273438,82262.210938,79429.101562,41775.457031,57879.265625,65173.117188,benzina
115707,38.944687,22.23103,1022.384583,69983.59375,2454899.5,1435178.75,698499.3125,105982.195312,100727.914062,95700.9375,53156.144531,64192.578125,69077.171875,benzina
115715,39.096107,22.050856,1022.401855,72051.789062,2520615.5,1447349.875,700650.0,107045.789062,101446.40625,96294.90625,53894.738281,64826.539062,69133.132812,benzina
115723,39.160652,22.007732,1022.405945,71930.320312,2497561.0,1423210.625,682439.1875,105263.15625,99378.882812,95114.25,53255.667969,64386.316406,68357.8125,benzina
115731,39.197887,21.936163,1022.4599,71568.351562,2433026.5,1385656.25,667101.0,103790.796875,98689.28125,94169.578125,52761.746094,63760.898438,68193.929688,benzina
115739,39.207817,21.899771,1022.509033,71091.367188,2448296.5,1370358.0,661285.125,102852.554688,98291.421875,92119.46875,52794.390625,63334.984375,68085.109375,benzina
115747,39.252499,21.881746,1022.543945,70796.460938,2388338.25,1354049.625,654940.8125,102728.734375,97393.953125,91330.71875,52117.265625,62362.972656,67173.96875,benzina
115755,39.272362,21.883158,1022.593262,69414.320312,2321337.5,1320012.875,642006.25,101567.148438,97282.921875,91822.09375,51958.59375,62362.972656,66597.296875,benzina
115763,39.279808,21.878387,1022.596313,69189.1875,2311512.5,1282806.125,622114.1875,99902.4375,95862.195312,89043.476562,51087.605469,61776.0625,65674.703125,benzina
115771,39.294701,21.895346,1022.624512,67922.523438,2223066.5,1245363.375,609886.8125,98009.1875,92219.023438,87851.75,50542.941406,60548.722656,64728.191406,benzina
115779,39.297184,21.884922,1022.650391,67546.171875,2178723.5,1263807.5,605558.8125,98518.375,91822.09375,88123.921875,50274.941406,60249.46875,63760.898438,benzina
115787,39.319527,21.902409,1022.663391,66805.84375,2126135.5,1207903.25,592421.1875,98065.507812,91233.070312,88215.023438,50097.847656,59827.0625,64289.300781,benzina
115795,39.326973,21.892336,1022.664795,66286.898438,2087133.75,1185871.5,582314.5,95647.296875,89887.640625,86253.367188,49487.726562,59369.203125,63429.136719,benzina
115803,39.354279,21.899578,1022.704102,65826.6875,2090329.125,1155756.25,577389.3125,95486.757812,90267.984375,86868.0,49174.03125,59122.402344,63054.1875,benzina
115811,39.344349,21.89357,1022.715271,65173.117188,2035785.25,1143176.125,567784.875,92318.789062,88123.921875,84210.523438,50423.476562,62135.921875,65523.417969,benzina
115819,39.379101,21.758284,1022.752258,67599.679688,2164904.75,1217598.125,624390.25,104553.804688,100668.5,98291.421875,55761.273438,69245.335938,76032.078125,benzina
115827,39.396477,21.194036,1022.693176,79134.46875,2785447.25,1589136.75,818872.4375,133926.234375,132987.015625,131046.835938,71628.429688,87134.101562,96951.335938,benzina
115835,39.465984,20.472889,1022.542847,105263.15625,4475280.0,2422235.25,1095480.125,163421.640625,158710.484375,154682.78125,77764.273438,95808.382812,103225.804688,benzina
115843,39.391514,20.300165,1022.327576,105198.273438,4611314.5,2604769.5,1280400.125,195233.5625,191080.421875,182661.4375,85561.5,105523.492188,115994.5625,benzina
115851,39.403923,20.170086,1022.110596,122312.46875,5927641.0,3520412.5,1665717.75,236162.359375,230890.640625,222899.4375,94849.945312,110083.851562,120159.585938,benzina
115859,39.319527,20.154045,1021.871704,125091.617188,6236772.0,3564063.5,1733389.75,245328.21875,236982.1875,230267.59375,97616.78125,115367.28125,124817.164062,benzina
115867,39.292217,20.17317,1021.657104,127521.796875,6515808.5,3888915.25,1824905.375,255808.140625,248362.84375,239476.140625,99669.070312,119152.898438,124271.84375,benzina
115875,39.22271,20.152882,1021.477295,123641.632812,6405004.0,3778597.75,1835948.0,259898.484375,254473.15625,249817.03125,103917.1875,120498.9375,129751.648438,benzina
115883,39.292217,20.162706,1021.319641,136825.234375,7474452.5,4371398.0,2001465.875,264941.78125,251844.5625,239476.140625,95061.273438,109942.023438,116152.453125,benzina
115891,39.153206,20.237226,1021.164368,118738.40625,6063656.5,3719409.75,1848375.5,259306.15625,254094.296875,245152.015625,96841.3125,112999.335938,118738.40625,benzina
115899,39.180511,20.265205,1021.05957,122664.109375,6254628.5,3820895.5,1937559.125,265353.71875,258912.765625,252403.25,101386.140625,116868.296875,124543.90625,benzina
115907,39.140793,20.283504,1020.961548,128869.875,6995730.0,4420939.0,2210469.5,296210.59375,286995.53125,276308.6875,99727.304688,112626.484375,115601.71875,benzina
115915,39.262428,20.249699,1020.845703,117189.289062,5698782.5,3623175.5,2040348.75,283185.84375,274973.15625,265560.15625,104682.070312,124271.84375,132368.15625,benzina
115923,39.180511,20.191944,1020.760437,141710.484375,8491319.0,5509078.5,2828729.25,357666.78125,342589.5,324050.625,107994.09375,122137.40625,128481.804688,benzina
115931,39.12838,20.266979,1020.66217,133402.8125,7338858.0,4549847.5,2198014.5,295185.9375,287478.9375,276756.75,103790.796875,123195.382812,130048.257812,benzina
115939,39.02412,20.328104,1020.627869,133821.21875,7631113.0,5027309.0,2463759.5,318903.78125,309365.5625,299327.6875,106511.335938,122488.039062,130147.429688,benzina
115947,39.088661,20.342871,1020.573364,134985.5,7363595.5,4768335.5,2513654.5,329048.84375,317126.03125,304128.3125,106711.132812,119738.070312,126482.210938,benzina
115955,39.063839,20.367399,1020.536255,125736.742188,6712003.5,4167896.25,2241313.25,301975.8125,294930.875,287237.03125,112478.03125,130645.570312,140543.515625,benzina
115963,39.03157,20.380959,1020.481445,142777.46875,8198148.5,5170085.0,2470446.25,318606.09375,305489.25,292906.1875,105328.125,120329.023438,127047.148438,benzina
