cycleID,Temperature,Humidity,Pressure,Resistance0,Resistance1,Resistance2,Resistance3,Resistance4,Resistance5,Resistance6,Resistance7,Resistance8,Resistance9,label
87967,37.987732,20.703527,1021.550598,342246.0,77718352.0,59308596.0,37947888.0,1930709.375,1794916.75,1676970.375,298542.28125,331284.375,347118.65625,gasolio
87975,38.234474,20.512434,1021.590698,363378.28125,83752080.0,62894432.0,40181484.0,2028224.75,1875028.625,1746695.125,312480.9375,348892.6875,375229.03125,gasolio
87983,38.234474,20.570976,1021.573975,390020.9375,91466856.0,68786144.0,43545516.0,2176986.5,2005876.625,1899814.5,324976.1875,360309.65625,387805.34375,gasolio
87991,38.077457,20.215078,1021.594177,384528.71875,92336736.0,69663568.0,45166092.0,2205114.5,2037304.125,1915809.125,327156.5625,362606.21875,389353.625,gasolio
87998,38.045055,19.963781,1021.597473,402199.53125,98587440.0,74282800.0,48807300.0,2290187.25,2127792.25,1998536.25,333224.875,376263.09375,395901.8125,gasolio
88007,38.037579,20.20715,1021.591309,409927.9375,99485392.0,76094048.0,48807300.0,2311512.5,2117890.5,1989798.375,331284.375,366499.65625,388025.78125,gasolio
88015,38.202076,20.393278,1021.584534,399375.96875,95777856.0,74219704.0,45781348.0,2224877.75,2058808.75,1921200.75,331606.21875,375435.375,391138.28125,gasolio
88024,38.279335,20.462221,1021.577087,393392.25,94636824.0,70620688.0,44521740.0,2178723.5,2043402.375,1901137.125,331284.375,369275.15625,393619.0625,gasolio
88030,38.254414,20.609581,1021.571716,406752.71875,99259368.0,74536256.0,47012912.0,2280623.5,2114610.25,1972550.0,336842.09375,380881.53125,400078.125,gasolio
88039,38.274353,20.66951,1021.612183,414155.71875,101096800.0,77305808.0,50296240.0,2361487.5,2199785.25,2025216.375,345362.5625,383018.5,402911.65625,gasolio
88048,38.276848,20.552519,1021.597351,416938.125,102400000.0,78627472.0,52597112.0,2439547.25,2239475.0,2111340.25,351045.59375,397515.53125,416429.4375,gasolio
88056,38.172169,20.200079,1021.623352,428451.875,102400000.0,83193904.0,54533804.0,2520615.5,2331246.5,2154655.5,356545.96875,397747.125,415668.75,gasolio
88064,38.169674,20.093807,1021.611938,423140.5,102400000.0,81639368.0,53597220.0,2461538.5,2276820.5,2119534.25,349965.8125,394757.125,414658.84375,gasolio
88072,38.264381,19.962164,1021.600159,418985.28125,102400000.0,81639368.0,53466040.0,2481672.25,2292109.75,2132778.0,351407.0,396591.78125,418215.21875,gasolio
88080,38.224506,19.832466,1021.582397,422355.125,102400000.0,81715712.0,53270472.0,2477169.75,2280623.5,2136114.75,353225.25,394985.53125,417959.1875,gasolio
88088,38.207058,20.016726,1021.61084,420275.0,102400000.0,81335400.0,52219920.0,2433026.5,2265486.75,2093534.375,347118.65625,389798.25,408945.6875,gasolio
88096,38.329185,20.226343,1021.586243,412404.34375,102400000.0,78556784.0,50616720.0,2359447.0,2173520.75,2007351.125,337508.25,380245.09375,404104.1875,gasolio
88104,38.351616,20.371298,1021.598877,421572.65625,102400000.0,81108912.0,53466040.0,2481672.25,2301770.25,2142819.75,356545.96875,402911.65625,426311.40625,gasolio
88112,38.244446,20.141148,1021.61731,440904.1875,102400000.0,87702912.0,57664760.0,2629855.5,2428698.5,2267367.75,364542.53125,409927.9375,428990.375,gasolio
88120,38.314232,20.092669,1021.60553,442332.625,102400000.0,87791024.0,58125056.0,2647705.25,2439547.25,2271139.5,366106.53125,409436.21875,428183.15625,gasolio
88128,38.296783,20.091526,1021.624756,436953.28125,102400000.0,85222368.0,55787188.0,2539367.75,2359447.0,2189203.75,358794.6875,398909.21875,416429.4375,gasolio
88136,38.361584,20.196619,1021.595825,421312.5,102400000.0,79776016.0,52692260.0,2468213.25,2290187.25,2126135.5,356545.96875,404343.53125,428720.96875,gasolio
88144,38.28183,20.053417,1021.638489,446673.9375,102400000.0,89225320.0,58829444.0,2676249.5,2481672.25,2292109.75,367288.375,409436.21875,433347.4375,gasolio
88152,38.3242,19.923666,1021.624756,448140.03125,102400000.0,89407912.0,58436024.0,2658014.25,2424386.0,2256127.75,365322.875,410420.84375,432523.75,gasolio
88160,38.349125,20.179873,1021.63208,444927.21875,102400000.0,87702912.0,56987828.0,2592405.0,2384167.75,2233978.75,357292.40625,399843.8125,417959.1875,gasolio
88168,38.351616,20.424475,1021.632324,431430.375,102400000.0,83832424.0,54670280.0,2520615.5,2333238.5,2180463.25,357666.78125,402911.65625,423665.6875,gasolio
88176,38.413925,20.455221,1021.63678,435281.625,102400000.0,85139328.0,55468472.0,2548848.75,2357410.0,2176986.5,351045.59375,387365.25,398909.21875,gasolio
88184,38.413925,20.460543,1021.631042,391587.0,95255816.0,73470856.0,48455452.0,2297896.25,2129451.5,1985458.125,340538.75,384528.71875,402199.53125,gasolio
88192,38.3242,20.56633,1021.634033,407724.46875,100863408.0,77511528.0,50675432.0,2380011.5,2224877.75,2066599.375,353225.25,404343.53125,426045.34375,gasolio
88200,38.441341,20.531569,1021.647766,438637.8125,102400000.0,84726568.0,56109588.0,2560800.25,2375870.0,2214054.0,367684.03125,418985.28125,441189.15625,gasolio
88208,38.379032,20.6499,1021.654663,460846.09375,102400000.0,93924760.0,61048904.0,2746228.75,2520615.5,2343249.5,380669.15625,420793.09375,439202.21875,gasolio
