cycleID,Temperature,Humidity,Pressure,Resistance0,Resistance1,Resistance2,Resistance3,Resistance4,Resistance5,Resistance6,Resistance7,Resistance8,Resistance9,label
323686,32.517197,46.859226,995.584961,246746.984375,46315196.0,47369716.0,57779148.0,2587492.0,2520615.5,2493000.5,271906.53125,323436.5,356173.90625,fire
323694,34.817524,41.61829,995.622925,232780.171875,41165828.0,43115788.0,56181740.0,2565612.25,2553616.0,2544099.5,262093.671875,313341.5,353957.84375,fire
323702,36.4076,38.748573,995.632507,229031.53125,41127080.0,42736224.0,53928000.0,2452694.5,2454899.5,2459321.5,256384.578125,305216.09375,346062.84375,fire
323710,37.701115,36.763474,995.531921,191509.25,30696018.0,29355432.0,28438272.0,1464426.125,1427675.125,1420249.625,204595.40625,253152.046875,291405.8125,fire
323718,37.299847,36.512291,995.530945,156383.625,22238208.0,22283578.0,27182082.0,1408528.25,1366244.125,1352708.0,192048.015625,247104.25,288207.15625,fire
323726,35.787014,39.313988,995.525757,158122.296875,21969830.0,21018602.0,24227726.0,1294973.125,1249923.75,1252216.5,196018.375,250550.53125,291157.25,fire
323734,35.415668,40.651688,995.533752,64581.230469,4478950.0,3802274.25,3416892.5,283185.84375,268484.53125,267223.375,106644.445312,153569.28125,155670.421875,fire
323742,36.210705,40.152008,995.539612,44198.894531,2265486.75,1755679.375,1273235.875,123195.382812,111087.0,102420.484375,44521.738281,50453.292969,48836.320312,fire
323750,34.944626,41.901192,995.508972,52794.390625,2919458.25,2327272.75,1351369.125,125000.0,109589.039062,106644.445312,64192.578125,94902.6875,129653.078125,fire
323758,34.064861,43.906281,995.577332,110654.851562,10726023.0,9697544.0,10082462.0,679045.0625,670376.4375,665151.0,149532.703125,200626.953125,238805.96875,fire
323766,33.867973,44.226734,995.582214,160804.015625,21202200.0,19998780.0,20146326.0,1168616.25,1119737.5,1107027.0,194787.90625,244100.125,278336.5,fire
323774,34.78014,42.448689,995.604614,176612.625,25264456.0,24430942.0,26619008.0,1438202.25,1412901.0,1389888.0,215306.984375,267432.75,306037.0625,fire
323782,33.648659,44.625065,995.596863,201218.3125,31089184.0,30249712.0,34151120.0,1784360.75,1735593.25,1685250.0,238139.53125,287237.03125,323743.28125,fire
323790,33.755825,45.201321,995.639038,70329.671875,5194673.5,4225948.0,2502138.0,208469.0625,194565.84375,176612.625,62914.722656,103853.953125,151524.125,fire
323798,34.149601,44.30489,995.579773,41898.527344,2096749.375,1588212.5,1263807.5,141241.375,144591.921875,147592.96875,85647.375,126388.546875,137597.421875,fire
323806,33.820625,43.93766,995.605591,66235.445312,4694556.0,4126952.25,2935148.75,230423.046875,211832.84375,195457.140625,70387.679688,100254.554688,106711.132812,fire
323814,36.218182,42.353912,995.617554,28998.640625,1158698.75,866694.875,506304.09375,60850.960938,58877.644531,58115.777344,37647.058594,52696.582031,57683.640625,fire
323822,36.776459,40.224091,995.644958,28978.945312,1184842.375,791803.625,348892.6875,38988.730469,35605.007812,31976.017578,17524.644531,18465.089844,17728.53125,fire
323830,38.553497,37.691689,995.679688,11989.508789,239308.25,148750.71875,75294.117188,15432.842773,14295.287109,12958.088867,14096.916016,14956.765625,14608.537109,fire
323838,38.234474,36.051197,995.682861,13689.839844,302511.09375,208851.71875,121962.835938,24306.875,22955.523438,22662.888672,25004.882812,31318.816406,26594.638672,fire
323846,38.259399,38.059418,995.703979,9370.424805,156097.5625,97172.140625,52534.375,13206.768555,12918.853516,11996.250977,18577.648438,28476.083984,40777.316406,fire
323854,36.382675,39.731438,995.733093,20291.693359,581818.1875,420793.09375,254283.578125,36707.773438,33040.785156,29767.441406,23925.234375,32048.072266,39275.851562,fire
323862,35.769569,39.047909,995.693115,42272.125,1917154.25,1534657.125,1018652.0625,115915.78125,114209.234375,111888.109375,63665.753906,92318.789062,116708.453125,fire
323870,35.537788,39.706326,995.751465,62729.722656,3627989.25,2834602.0,1842140.75,174803.6875,166612.4375,160050.015625,78987.96875,108959.351562,128675.546875,fire
323878,35.251175,40.402748,995.731201,75427.226562,4789243.0,3796987.25,2210469.5,199804.875,182076.8125,174090.453125,85647.375,119654.125,144103.578125,fire
323886,35.296036,41.189079,995.729736,33534.1875,1313662.625,900417.6875,458678.625,58634.90625,51148.851562,44896.527344,30338.943359,37058.484375,41250.402344,fire
323894,35.799477,40.182674,995.685059,26930.359375,955223.875,673020.0625,343278.59375,32964.203125,26202.662109,21368.949219,15477.629883,19512.195312,20585.396484,fire
323902,37.33474,39.10043,995.739563,9232.544922,156527.0625,97172.140625,49174.03125,10925.230469,10663.112305,9928.637695,11602.610352,13380.723633,17381.857422,fire
323910,36.263042,39.332375,995.689514,18675.226562,489600.75,341903.1875,186046.515625,31434.185547,29809.035156,28609.746094,27344.583984,42146.855469,51210.242188,fire
323918,36.173321,39.701225,995.737732,28939.632812,1049987.125,729864.5625,391587.0,52991.097656,49834.535156,46562.386719,36332.671875,51395.300781,60981.417969,fire
323926,35.151485,40.542194,995.660461,51958.59375,2446103.25,2049537.125,1286432.125,136061.65625,132265.5625,129949.242188,72234.765625,105068.75,127331.507812,fire
323934,34.832478,41.607899,995.701172,70914.125,4102153.25,3362200.0,2126135.5,199105.578125,185843.921875,178459.390625,85475.796875,118162.9375,134665.96875,fire
323942,34.648048,42.22525,995.685059,76992.484375,4835891.5,3930902.0,2483929.75,225998.671875,216536.265625,208979.59375,99843.992188,138715.796875,164207.828125,fire
323950,34.36393,42.942528,995.713745,87581.25,6003664.5,4883457.5,3163545.0,268062.8125,256770.3125,245858.34375,111014.742188,151928.78125,179964.84375,fire
323958,33.907852,43.79467,995.722412,95700.9375,6881142.5,5570894.5,3676840.25,303048.25,286754.40625,273650.46875,119822.140625,164683.171875,197264.5,fire
323966,33.61377,44.503448,995.672302,102420.484375,7947611.0,6614453.0,4446133.0,348180.90625,329366.34375,311340.84375,128869.875,173383.0,209235.796875,fire
323974,33.065483,45.535641,995.666992,84377.0625,6169836.0,4848772.0,2897771.5,245152.015625,219884.046875,199338.140625,85819.648438,108130.9375,111087.0,fire
323982,32.489784,46.861942,995.695618,80859.125,5593718.0,4591928.5,2986511.0,258129.5625,242023.15625,229647.90625,105393.164062,144714.53125,175162.5,fire
323990,32.412525,47.652531,995.680237,71508.382812,4743486.0,3662047.5,2230329.5,201455.828125,194123.21875,183249.828125,97896.75,142064.375,168421.046875,fire
323998,32.385109,47.849632,995.698792,59122.402344,3431923.0,2474924.5,1377269.625,136387.859375,124453.085938,115289.351562,68085.109375,85992.609375,101446.40625,fire
324006,32.512215,48.174057,995.667542,51148.851562,2760107.75,2095140.625,1247639.375,131551.90625,126482.210938,122664.109375,77481.84375,114823.953125,141710.484375,fire
324014,32.390095,48.441055,995.72113,66030.4375,4177460.5,3206262.25,1926622.75,175703.5,166125.890625,157103.40625,77977.460938,107857.59375,127047.148438,fire
324022,32.467354,48.275063,995.664917,61553.257812,3744914.25,2796859.0,1660652.75,152744.625,139168.25,128675.546875,67279.898438,89982.421875,103790.796875,fire
324030,32.165798,48.480686,995.640137,53355.566406,2931997.25,2149567.0,1162645.5,118491.09375,107450.15625,99843.992188,60462.917969,81632.65625,100906.585938,fire
324038,32.21315,49.073299,995.6521,35724.253906,1567247.0,1073094.0,560788.625,68412.617188,62775.871094,58076.226562,42909.824219,63100.8125,77481.84375,fire
324046,32.063618,48.864094,995.591858,46460.980469,2424386.0,1857175.25,1067222.5,113752.5,106844.742188,103163.40625,63760.898438,88950.664062,110511.546875,fire
324054,32.332771,48.988201,995.651611,32862.644531,1322570.25,879536.1875,438074.875,56537.101562,50632.910156,45470.691406,34650.785156,43880.699219,50662.972656,fire
324062,32.464859,49.353455,995.679443,13239.552734,271258.28125,163265.3125,94849.945312,20969.855469,20785.96875,20349.761719,20565.552734,29479.501953,40276.902344,fire
324070,32.375141,49.423683,995.714722,16899.919922,427914.75,280855.71875,150588.234375,24251.611328,20062.695312,18545.349609,20447.285156,30468.935547,31457.361328,fire
324078,32.347725,49.154415,995.731567,19370.460938,543380.1875,375229.03125,165481.578125,27789.839844,25635.890625,24460.15625,25884.732422,37285.171875,45181.785156,fire
