_time;vcc;vpanel;tmp;hum;s0;s1;s2;s3;s4;s5;s6;s7;s8;s9;value;sensor_name
2024-06-03 14:01:00+00:00;3,488;3,358;31,79;39,512;440000;59028100;54876200;53696000;4289000;4212900;4180600;447200;478200;505100;air;Tree31
2024-06-03 14:02:00+00:00;3,487;3,357;31,89;38,614;438000;58948500;55083800;53270400;4262200;4229200;4212900;446900;479900;502900;air;Tree31
2024-06-03 14:03:00+00:00;3,489;3,358;32,03;38,617;437200;59429600;54738700;52851600;4248900;4193400;4183800;446000;476600;502900;air;Tree31
2024-06-03 14:05:00+00:00;3,487;3,36;32,07;38,492;434100;57970800;54364100;52565400;4232400;4196700;4136300;445500;475200;499600;air;Tree31
2024-06-03 14:06:00+00:00;3,489;3,358;32,14;38,479;437700;58789800;54229200;52376400;4239000;4190200;4167800;444300;472600;500700;air;Tree31
2024-06-03 14:07:00+00:00;3,489;3,33;32,16;38,576;431900;58009200;53828300;52064300;4190200;4174200;4136300;442000;471300;495200;air;Tree31
2024-06-03 14:08:00+00:00;3,489;3,316;32,05;38,225;432700;59028100;54262800;52407800;4248900;4206400;4142600;442600;474600;498900;air;Tree31
2024-06-03 14:10:00+00:00;3,489;3,361;32,18;37,836;438000;59632300;54670200;53270400;4319500;4262200;4245600;448100;477600;502200;air;Tree31
2024-06-03 14:11:00+00:00;3,489;3,361;32,25;38,45;435800;58988200;54262800;52628700;4242300;4196700;4183800;445200;477600;499600;air;Tree31
2024-06-03 14:12:00+00:00;3,488;3,361;32,19;38,571;434100;58241200;53927900;52407800;4229200;4190200;4190200;446000;475900;499200;air;Tree31
2024-06-03 14:13:00+00:00;3,487;3,363;32,05;38,748;435800;59148000;54262800;52947600;4222600;4196700;4139400;444600;476600;501100;air;Tree31
2024-06-03 14:15:00+00:00;3,489;3,362;32,09;38,627;434700;59108000;54195500;52407800;4212900;4164700;4145700;446300;474900;499600;air;Tree31
2024-06-03 14:16:00+00:00;3,489;3,362;32,01;38,562;435200;58436000;54601900;52979700;4229200;4193400;4158300;444300;475200;501100;air;Tree31
2024-06-03 14:17:00+00:00;3,488;3,353;31,93;38,958;435800;58357900;54567800;52755800;4242300;4199900;4158300;444900;473900;502200;air;Tree31
2024-06-03 14:18:00+00:00;3,49;3,363;31,83;38,968;436900;58280100;54431800;53335500;4262200;4222600;4164700;445700;476600;500700;air;Tree31
2024-06-03 14:20:00+00:00;3,488;3,362;31,87;38,974;434400;57970800;54601900;53335500;4248900;4196700;4190200;446300;476600;503300;air;Tree31
2024-06-03 14:21:00+00:00;3,489;3,359;31,91;38,898;436300;58948500;54738700;53173200;4258900;4222600;4193400;445700;479200;502500;air;Tree31
2024-06-03 14:22:00+00:00;3,488;3,363;31,88;39,014;438900;58908700;54945200;53795100;4309300;4252200;4232400;448400;476600;505500;air;Tree31
2024-06-03 14:23:00+00:00;3,489;3,366;31,84;39,482;437200;58202400;54979800;53762100;4299100;4252200;4164700;448100;476200;502200;air;Tree31
2024-06-03 14:25:00+00:00;3,489;3,364;31,72;40;432200;58319000;54094900;53011900;4225900;4177400;4142600;443100;474200;498900;air;Tree31
2024-06-03 14:26:00+00:00;3,488;3,36;31,68;40,244;433600;57779100;54533800;52947600;4222600;4212900;4145700;444600;472600;499200;air;Tree31
2024-06-03 14:27:00+00:00;3,487;3,36;31,74;40,38;433600;57779100;54128400;52660500;4190200;4155200;4105200;443100;472300;497000;air;Tree31
2024-06-03 14:29:00+00:00;3,488;3,359;31,83;40,079;432700;57932300;54094900;52628700;4196700;4225900;4142600;443700;474600;497800;air;Tree31
2024-06-03 14:30:00+00:00;3,488;3,36;31,93;39,831;431900;57932300;54229200;52724000;4219400;4190200;4120700;442000;471600;498100;air;Tree31
2024-06-03 14:31:00+00:00;3,487;3,362;32,01;39,931;430800;58086400;54128400;52219900;4203100;4161500;4148800;442600;470000;495200;air;Tree31
2024-06-03 14:32:00+00:00;3,488;3,363;32,08;39,779;430000;58514200;53564300;52095300;4155200;4174200;4102100;440600;469700;494900;air;Tree31
2024-06-03 14:34:00+00:00;3,49;3,363;32,05;39,441;431100;58086400;53994600;52439200;4196700;4158300;4114500;440000;470600;497800;air;Tree31
2024-06-03 14:35:00+00:00;3,491;3,365;31,95;39,257;432200;57932300;54229200;52692200;4229200;4180600;4164700;442900;471900;500300;air;Tree31
2024-06-03 14:37:00+00:00;3,491;3,36;31,93;39,768;433000;57817300;53961300;52628700;4232400;4180600;4145700;444000;474600;497000;air;Tree31
2024-06-03 14:39:00+00:00;3,489;3,364;31,93;40,029;431100;57740900;53927900;52439200;4161500;4145700;4130000;439200;469000;492700;air;Tree31
2024-06-03 14:40:00+00:00;3,49;3,364;31,92;39,674;431400;58319000;54229200;52692200;4199900;4174200;4148800;444000;472900;498900;air;Tree31
2024-06-03 14:41:00+00:00;3,489;3,363;31,86;38,458;436300;59148000;55014400;53696000;4275500;4239000;4222600;447500;480600;502200;air;Tree31
2024-06-03 14:42:00+00:00;3,49;3,365;31,76;39,816;435800;58514200;55398100;53597200;4275500;4212900;4209600;448700;477900;500700;air;Tree31
2024-06-03 14:44:00+00:00;3,491;3,365;31,62;39,995;435200;59632300;54979800;53630100;4262200;4229200;4190200;446000;476200;504000;air;Tree31
2024-06-03 14:45:00+00:00;3,49;3,363;31,57;40,476;438000;58632000;55363000;53861500;4282200;4235700;4183800;445500;477600;499200;air;Tree31
2024-06-03 14:46:00+00:00;3,492;3,363;31,51;40,764;434700;58241200;55153300;53400600;4265500;4229200;4187000;446000;476900;500700;air;Tree31
2024-06-03 14:47:00+00:00;3,491;3,366;31,47;40,351;433000;58436000;55468400;54061400;4262200;4242300;4196700;446000;476600;502200;air;Tree31
2024-06-03 14:49:00+00:00;3,492;3,367;31,45;40,867;434100;59108000;55014400;53400600;4239000;4225900;4180600;444300;473900;501100;air;Tree31
2024-06-03 14:50:00+00:00;3,492;3,366;31,31;41,406;435800;58163700;54773000;53795100;4275500;4252200;4222600;449300;474600;503600;air;Tree31
2024-06-03 14:51:00+00:00;3,49;3,365;31,11;41,947;433600;58908700;55258000;53433300;4232400;4212900;4177400;447500;478900;504400;air;Tree31
2024-06-03 14:52:00+00:00;3,492;3,365;31;41,693;436300;58163700;54876200;53894700;4252200;4252200;4180600;448100;475200;502900;air;Tree31
2024-06-03 14:54:00+00:00;3,491;3,365;31;41,459;437700;59754700;55292900;53729000;4292300;4245600;4209600;448400;478200;504000;air;Tree31
2024-06-03 14:55:00+00:00;3,491;3,366;30,99;41,886;438300;59068000;55327900;54128400;4289000;4265500;4219400;450800;477900;504000;air;Tree31
2024-06-03 14:56:00+00:00;3,493;3,366;30,93;42,463;436600;59108000;55433200;53466000;4248900;4212900;4161500;445700;477900;501800;air;Tree31
2024-06-03 14:57:00+00:00;3,493;3,362;30,95;42,357;437200;57893900;54979800;53270400;4225900;4206400;4158300;443400;475600;499600;air;Tree31
2024-06-03 14:59:00+00:00;3,491;3,365;30,95;42,54;433600;58632000;54910700;53400600;4222600;4212900;4180600;446000;474600;501800;air;Tree31
2024-06-03 15:00:00+00:00;3,488;3,361;30,92;42,381;433600;58553400;54979800;53238000;4219400;4199900;4148800;446900;476600;501100;air;Tree31
2024-06-03 15:01:00+00:00;3,49;3,36;30,95;42,61;436900;58047800;54773000;53762100;4248900;4252200;4196700;445700;477600;498500;air;Tree31
2024-06-03 15:02:00+00:00;3,489;3,359;31,03;42,635;432500;58280100;54773000;53498700;4252200;4212900;4158300;444000;474600;500000;air;Tree31
2024-06-03 15:04:00+00:00;3,489;3,358;31,16;41,899;432700;58396900;54807400;53531500;4229200;4152000;4145700;444300;474600;501100;air;Tree31
2024-06-03 15:05:00+00:00;3,488;3,359;31,3;41,664;433600;59348800;54807400;53597200;4265500;4275500;4190200;447500;479200;502200;air;Tree31
2024-06-03 15:06:00+00:00;3,488;3,36;31,47;41,139;436300;59673100;55574300;54161900;4265500;4219400;4199900;447500;474900;500700;air;Tree31
2024-06-03 15:07:00+00:00;3,49;3,358;31,56;40,958;433800;58514200;55118500;53498700;4248900;4235700;4167800;445700;475200;500700;air;Tree31
2024-06-03 15:09:00+00:00;3,488;3,358;31,51;40,794;437500;58869000;55083800;53729000;4255500;4206400;4158300;445700;474600;501400;air;Tree31
2024-06-03 15:10:00+00:00;3,488;3,364;31,37;41,079;436600;59068000;55292900;54330300;4268800;4258900;4203100;448100;479900;503300;air;Tree31
2024-06-03 15:11:00+00:00;3,487;3,361;31,35;41,061;438000;59673100;55503700;54094900;4289000;4235700;4229200;449300;480300;503600;air;Tree31
2024-06-03 15:12:00+00:00;3,489;3,363;31,24;40,925;438000;59188000;55538900;53597200;4245600;4252200;4212900;448100;479200;505500;air;Tree31
2024-06-03 15:14:00+00:00;3,489;3,365;31,24;40,582;442900;60457500;56435700;55049100;4360900;4292300;4248900;451900;482600;507000;air;Tree31
2024-06-03 15:15:00+00:00;3,49;3,365;31,18;40,198;442000;60499400;56618500;55363000;4350500;4322900;4282200;456200;481900;510800;air;Tree31
2024-06-03 15:19:00+00:00;3,491;3,368;31,02;38,705;456200;62579100;59836500;58553400;4568800;4519700;4467900;469700;501100;529400;air;Tree31
2024-06-03 15:20:00+00:00;3,491;3,368;31,03;39,272;463300;64093800;60332300;58829400;4619100;4557400;4497300;471900;502500;527800;air;Tree31
2024-06-03 15:21:00+00:00;3,492;3,367;31,09;39,714;458000;64000000;60124700;58750300;4591900;4557400;4515900;470600;502900;527000;air;Tree31
2024-06-03 15:22:00+00:00;3,491;3,367;31,07;39,393;459900;63859600;60249100;58632000;4572700;4501000;4523400;471000;501400;527800;air;Tree31
2024-06-03 15:24:00+00:00;3,492;3,365;31,12;39,77;457400;64282400;59918600;58475100;4565000;4527200;4497300;470600;502900;527400;air;Tree31
